;tool;sol_version;analysis;type;subtype;insecure;error;ground_truth
0;ethor-2023;v4;bytecode;CreateBasedReentrancy;NonReentrant;1;0;0
1;ethor-2023;v4;bytecode;CreateBasedReentrancy;NonVulnerableFixedAddress;1;0;0
2;ethor-2023;v4;bytecode;CreateBasedReentrancy;NonVulnerableUserDefinedAddress;1;0;0
3;ethor-2023;v4;bytecode;CreateBasedReentrancy;ReentrantCodePartsFixedAddress;1;0;0
4;ethor-2023;v4;bytecode;CreateBasedReentrancy;ReentrantCodePartsUserDefinedAddress;1;0;0
5;ethor-2023;v4;bytecode;CreateBasedReentrancy;SendFixedAddress;1;0;0
6;ethor-2023;v4;bytecode;CreateBasedReentrancy;SendUserDefinedAddress;1;0;0
7;ethor-2023;v4;bytecode;CreateBasedReentrancy;TransferFixedAddress;1;0;0
8;ethor-2023;v4;bytecode;CreateBasedReentrancy;TransferUserDefinedAddress;1;0;0
9;ethor-2023;v4;bytecode;CreateBasedReentrancy;VulnerableEtherLossFixedAddress;1;0;1
10;ethor-2023;v4;bytecode;CreateBasedReentrancy;VulnerableEtherLossUserDefinedAddress;1;0;1
11;ethor-2023;v4;bytecode;CreateBasedReentrancy;VulnerableNoEtherLossFixedAddress;1;0;1
12;ethor-2023;v4;bytecode;CreateBasedReentrancy;VulnerableNoEtherLossUserDefinedAddress;1;0;1
13;ethor-2023;v4;bytecode;CrossFunctionReentrancy;NonReentrant;0;0;0
14;ethor-2023;v4;bytecode;CrossFunctionReentrancy;NonVulnerableFixedAddress;1;0;0
15;ethor-2023;v4;bytecode;CrossFunctionReentrancy;NonVulnerableUserDefinedAddress;1;0;0
16;ethor-2023;v4;bytecode;CrossFunctionReentrancy;ReentrantCodePartsFixedAddress;1;0;0
17;ethor-2023;v4;bytecode;CrossFunctionReentrancy;ReentrantCodePartsUserDefinedAddress;1;0;0
18;ethor-2023;v4;bytecode;CrossFunctionReentrancy;SendFixedAddress;1;0;0
19;ethor-2023;v4;bytecode;CrossFunctionReentrancy;SendUserDefinedAddress;1;0;0
20;ethor-2023;v4;bytecode;CrossFunctionReentrancy;TransferFixedAddress;1;0;0
21;ethor-2023;v4;bytecode;CrossFunctionReentrancy;TransferUserDefinedAddress;1;0;0
22;ethor-2023;v4;bytecode;CrossFunctionReentrancy;VulnerableEtherLossFixedAddress;1;0;1
23;ethor-2023;v4;bytecode;CrossFunctionReentrancy;VulnerableEtherLossUserDefinedAddress;1;0;1
24;ethor-2023;v4;bytecode;CrossFunctionReentrancy;VulnerableNoEtherLossFixedAddress;1;0;1
25;ethor-2023;v4;bytecode;CrossFunctionReentrancy;VulnerableNoEtherLossUserDefinedAddress;1;0;1
26;ethor-2023;v4;bytecode;DelegatedReentrancy;NonReentrant;;1;0
27;ethor-2023;v4;bytecode;DelegatedReentrancy;NonVulnerableFixedAddress;;1;0
28;ethor-2023;v4;bytecode;DelegatedReentrancy;NonVulnerableUserDefinedAddress;;1;0
29;ethor-2023;v4;bytecode;DelegatedReentrancy;ReentrantCodePartsFixedAddress;;1;0
30;ethor-2023;v4;bytecode;DelegatedReentrancy;ReentrantCodePartsUserDefinedAddress;;1;0
31;ethor-2023;v4;bytecode;DelegatedReentrancy;SendFixedAddress;;1;0
32;ethor-2023;v4;bytecode;DelegatedReentrancy;SendUserDefinedAddress;;1;0
33;ethor-2023;v4;bytecode;DelegatedReentrancy;TransferFixedAddress;;1;0
34;ethor-2023;v4;bytecode;DelegatedReentrancy;TransferUserDefinedAddress;;1;0
35;ethor-2023;v4;bytecode;DelegatedReentrancy;VulnerableEtherLossFixedAddress;;1;1
36;ethor-2023;v4;bytecode;DelegatedReentrancy;VulnerableEtherLossUserDefinedAddress;;1;1
37;ethor-2023;v4;bytecode;DelegatedReentrancy;VulnerableNoEtherLossFixedAddress;;1;1
38;ethor-2023;v4;bytecode;DelegatedReentrancy;VulnerableNoEtherLossUserDefinedAddress;;1;1
39;ethor-2023;v4;bytecode;SameFunctionReentrancy;NonReentrant;0;0;0
40;ethor-2023;v4;bytecode;SameFunctionReentrancy;NonVulnerableFixedAddress;1;0;0
41;ethor-2023;v4;bytecode;SameFunctionReentrancy;NonVulnerableUserDefinedAddress;1;0;0
42;ethor-2023;v4;bytecode;SameFunctionReentrancy;ReentrantCodePartsFixedAddress;1;0;0
43;ethor-2023;v4;bytecode;SameFunctionReentrancy;ReentrantCodePartsUserDefinedAddress;1;0;0
44;ethor-2023;v4;bytecode;SameFunctionReentrancy;SendFixedAddress;0;0;0
45;ethor-2023;v4;bytecode;SameFunctionReentrancy;SendUserDefinedAddress;0;0;0
46;ethor-2023;v4;bytecode;SameFunctionReentrancy;TransferFixedAddress;0;0;0
47;ethor-2023;v4;bytecode;SameFunctionReentrancy;TransferUserDefinedAddress;0;0;0
48;ethor-2023;v4;bytecode;SameFunctionReentrancy;VulnerableEtherLossFixedAddress;1;0;1
49;ethor-2023;v4;bytecode;SameFunctionReentrancy;VulnerableEtherLossUserDefinedAddress;1;0;1
50;ethor-2023;v4;bytecode;SameFunctionReentrancy;VulnerableNoEtherLossFixedAddress;;1;1
51;ethor-2023;v4;bytecode;SameFunctionReentrancy;VulnerableNoEtherLossUserDefinedAddress;;1;1
52;ethor-2023;v5;bytecode;CreateBasedReentrancy;NonReentrant;1;0;0
53;ethor-2023;v5;bytecode;CreateBasedReentrancy;NonVulnerableFixedAddress;1;0;0
54;ethor-2023;v5;bytecode;CreateBasedReentrancy;NonVulnerableUserDefinedAddress;1;0;0
55;ethor-2023;v5;bytecode;CreateBasedReentrancy;ReentrantCodePartsFixedAddress;1;0;0
56;ethor-2023;v5;bytecode;CreateBasedReentrancy;ReentrantCodePartsUserDefinedAddress;1;0;0
57;ethor-2023;v5;bytecode;CreateBasedReentrancy;SendFixedAddress;1;0;0
58;ethor-2023;v5;bytecode;CreateBasedReentrancy;SendUserDefinedAddress;1;0;0
59;ethor-2023;v5;bytecode;CreateBasedReentrancy;TransferFixedAddress;1;0;0
60;ethor-2023;v5;bytecode;CreateBasedReentrancy;TransferUserDefinedAddress;1;0;0
61;ethor-2023;v5;bytecode;CreateBasedReentrancy;VulnerableEtherLossFixedAddress;1;0;1
62;ethor-2023;v5;bytecode;CreateBasedReentrancy;VulnerableEtherLossUserDefinedAddress;1;0;1
63;ethor-2023;v5;bytecode;CreateBasedReentrancy;VulnerableNoEtherLossFixedAddress;1;0;1
64;ethor-2023;v5;bytecode;CreateBasedReentrancy;VulnerableNoEtherLossUserDefinedAddress;1;0;1
65;ethor-2023;v5;bytecode;CrossFunctionReentrancy;NonReentrant;0;0;0
66;ethor-2023;v5;bytecode;CrossFunctionReentrancy;NonVulnerableFixedAddress;1;0;0
67;ethor-2023;v5;bytecode;CrossFunctionReentrancy;NonVulnerableUserDefinedAddress;1;0;0
68;ethor-2023;v5;bytecode;CrossFunctionReentrancy;ReentrantCodePartsFixedAddress;1;0;0
69;ethor-2023;v5;bytecode;CrossFunctionReentrancy;ReentrantCodePartsUserDefinedAddress;1;0;0
70;ethor-2023;v5;bytecode;CrossFunctionReentrancy;SendFixedAddress;1;0;0
71;ethor-2023;v5;bytecode;CrossFunctionReentrancy;SendUserDefinedAddress;1;0;0
72;ethor-2023;v5;bytecode;CrossFunctionReentrancy;TransferFixedAddress;1;0;0
73;ethor-2023;v5;bytecode;CrossFunctionReentrancy;TransferUserDefinedAddress;1;0;0
74;ethor-2023;v5;bytecode;CrossFunctionReentrancy;VulnerableEtherLossFixedAddress;1;0;1
75;ethor-2023;v5;bytecode;CrossFunctionReentrancy;VulnerableEtherLossUserDefinedAddress;1;0;1
76;ethor-2023;v5;bytecode;CrossFunctionReentrancy;VulnerableNoEtherLossFixedAddress;1;0;1
77;ethor-2023;v5;bytecode;CrossFunctionReentrancy;VulnerableNoEtherLossUserDefinedAddress;1;0;1
78;ethor-2023;v5;bytecode;DelegatedReentrancy;NonReentrant;;1;0
79;ethor-2023;v5;bytecode;DelegatedReentrancy;NonVulnerableFixedAddress;;1;0
80;ethor-2023;v5;bytecode;DelegatedReentrancy;NonVulnerableUserDefinedAddress;;1;0
81;ethor-2023;v5;bytecode;DelegatedReentrancy;ReentrantCodePartsFixedAddress;;1;0
82;ethor-2023;v5;bytecode;DelegatedReentrancy;ReentrantCodePartsUserDefinedAddress;;1;0
83;ethor-2023;v5;bytecode;DelegatedReentrancy;SendFixedAddress;;1;0
84;ethor-2023;v5;bytecode;DelegatedReentrancy;SendUserDefinedAddress;;1;0
85;ethor-2023;v5;bytecode;DelegatedReentrancy;TransferFixedAddress;;1;0
86;ethor-2023;v5;bytecode;DelegatedReentrancy;TransferUserDefinedAddress;;1;0
87;ethor-2023;v5;bytecode;DelegatedReentrancy;VulnerableEtherLossFixedAddress;;1;1
88;ethor-2023;v5;bytecode;DelegatedReentrancy;VulnerableEtherLossUserDefinedAddress;;1;1
89;ethor-2023;v5;bytecode;DelegatedReentrancy;VulnerableNoEtherLossFixedAddress;;1;1
90;ethor-2023;v5;bytecode;DelegatedReentrancy;VulnerableNoEtherLossUserDefinedAddress;;1;1
91;ethor-2023;v5;bytecode;SameFunctionReentrancy;NonReentrant;0;0;0
92;ethor-2023;v5;bytecode;SameFunctionReentrancy;NonVulnerableFixedAddress;1;0;0
93;ethor-2023;v5;bytecode;SameFunctionReentrancy;NonVulnerableUserDefinedAddress;1;0;0
94;ethor-2023;v5;bytecode;SameFunctionReentrancy;ReentrantCodePartsFixedAddress;1;0;0
95;ethor-2023;v5;bytecode;SameFunctionReentrancy;ReentrantCodePartsUserDefinedAddress;1;0;0
96;ethor-2023;v5;bytecode;SameFunctionReentrancy;SendFixedAddress;0;0;0
97;ethor-2023;v5;bytecode;SameFunctionReentrancy;SendUserDefinedAddress;0;0;0
98;ethor-2023;v5;bytecode;SameFunctionReentrancy;TransferFixedAddress;0;0;0
99;ethor-2023;v5;bytecode;SameFunctionReentrancy;TransferUserDefinedAddress;0;0;0
100;ethor-2023;v5;bytecode;SameFunctionReentrancy;VulnerableEtherLossFixedAddress;1;0;1
101;ethor-2023;v5;bytecode;SameFunctionReentrancy;VulnerableEtherLossUserDefinedAddress;;1;1
102;ethor-2023;v5;bytecode;SameFunctionReentrancy;VulnerableNoEtherLossFixedAddress;1;0;1
103;ethor-2023;v5;bytecode;SameFunctionReentrancy;VulnerableNoEtherLossUserDefinedAddress;1;0;1
104;ethor-2023;v6;bytecode;CreateBasedReentrancy;NonReentrant;1;0;0
